"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","n_obs","n_groups"
"pooled_poisson_crime","(Intercept)",4.18647869593441,0.0940647816645812,44.5063351219235,0,-34125.5651549004,1500,150
"pooled_poisson_crime","unemployment_rate",0.0794510998035082,0.00538878428277265,14.7437892545643,3.37314982985149e-49,-34125.5651549004,1500,150
"pooled_poisson_crime","police_per_capita",-0.115635094140686,0.0194040261353382,-5.95933510572291,2.53266271643633e-09,-34125.5651549004,1500,150
"pooled_poisson_crime","median_income",-0.0043159657868109,0.000621011291422702,-6.94989905404661,3.65547685318853e-12,-34125.5651549004,1500,150
"pooled_poisson_crime","temperature",0.0100496097029855,0.000577350234975939,17.4064356333107,7.37341184948647e-68,-34125.5651549004,1500,150
"fe_poisson_crime","unemployment_rate",0.0797176822370879,0.00116965342020069,68.1549601448692,0,-5495.43502165598,1500,150
"fe_poisson_crime","police_per_capita",-0.15208574825264,0.00287846549337343,-52.8357031212495,0,-5495.43502165598,1500,150
"fe_poisson_crime","median_income",-0.00508306987219544,0.000144701844419392,-35.1278858441023,2.52994553751396e-270,-5495.43502165598,1500,150
"fe_poisson_crime","temperature",0.0102001341164417,0.000270346815791276,37.7298104532396,1.61239781031535e-311,-5495.43502165598,1500,150
"fe_year_poisson_crime","unemployment_rate",0.0798509442315008,0.00114238029563317,69.8987408455278,0,-5489.04218037275,1500,150
"fe_year_poisson_crime","police_per_capita",-0.151717384582718,0.00285431742406491,-53.1536483306239,0,-5489.04218037275,1500,150
"fe_year_poisson_crime","median_income",-0.00507176146057411,0.000140614596981224,-36.068527517462,7.06698286023182e-285,-5489.04218037275,1500,150
"re_poisson_crime","(Intercept)",4.31751944991753,0.0487789054419638,88.5120199151338,0,-6008.9086230239,1500,150
"re_poisson_crime","unemployment_rate",0.0797193293560461,0.000995102509751173,80.1116755056522,0,-6008.9086230239,1500,150
"re_poisson_crime","police_per_capita",-0.151974971480035,0.00309054085786237,-49.1742314596518,0,-6008.9086230239,1500,150
"re_poisson_crime","median_income",-0.00508081277958932,0.000123570663744482,-41.1166584821085,0,-6008.9086230239,1500,150
"re_poisson_crime","temperature",0.0101997545558837,0.000268888456918959,37.9330324282302,7.34869153725116e-315,-6008.9086230239,1500,150
"re_poisson_crime","sigma",3.44582268576825,0.381362766396667,9.03555089639806,1.63178416910722e-19,-6008.9086230239,1500,150
"ppml_pooled_gravity","(Intercept)",2.13270800011018,0.280957345626495,7.59086043952525,3.17788087974866e-14,-1087223.16151159,9990,666
"ppml_pooled_gravity","log_gdp_exporter",0.887466775046957,0.027455880003122,32.3233775404774,3.28406360228036e-229,-1087223.16151159,9990,666
"ppml_pooled_gravity","log_gdp_importer",0.785641329963441,0.0259934157832,30.2246282872609,1.12457020088581e-200,-1087223.16151159,9990,666
"ppml_pooled_gravity","log_distance",-1.24285131748488,0.0225386627614447,-55.1430814968731,0,-1087223.16151159,9990,666
"ppml_pooled_gravity","contiguous",0.514798063893347,0.0647796688156645,7.94690793122522,1.91224422223658e-15,-1087223.16151159,9990,666
"ppml_pooled_gravity","common_language",0.376567611471459,0.0723549312543652,5.2044498549467,1.94572153159448e-07,-1087223.16151159,9990,666
"ppml_pooled_gravity","trade_agreement",0.381815281772635,0.0731439423496426,5.22005335653747,1.78871589785111e-07,-1087223.16151159,9990,666
"ppml_pair_fe_gravity","trade_agreement",0.565050506492381,0.0965535502701213,5.8521981316231,4.85118214681237e-09,-980574.846379817,9990,666
"ppml_year_fe_gravity","log_gdp_exporter",0.884172202413967,0.0273568762615446,32.319925490062,3.67210155438198e-229,-1079112.86752738,9990,666
"ppml_year_fe_gravity","log_gdp_importer",0.783248990364781,0.0251096817797532,31.1931069949417,1.32134374041901e-213,-1079112.86752738,9990,666
"ppml_year_fe_gravity","log_distance",-1.24142269117071,0.0226255719405446,-54.8681241929669,0,-1079112.86752738,9990,666
"ppml_year_fe_gravity","contiguous",0.513974129247519,0.0647337187971085,7.93982083523489,2.02473506227583e-15,-1079112.86752738,9990,666
"ppml_year_fe_gravity","common_language",0.37770373099708,0.0727487303441505,5.19189447307585,2.08164985155907e-07,-1079112.86752738,9990,666
"ppml_year_fe_gravity","trade_agreement",0.362907730871422,0.0768717428805914,4.72095099281337,2.34744498638221e-06,-1079112.86752738,9990,666
"ppml_pair_year_fe_gravity","trade_agreement",0.288155651507817,0.107784474490255,2.67344302480104,0.0075077028155332,-943074.192062978,9990,666
