"response_var","impulse_var","horizon","percentage","dataset","model_name"
"rw","prod",3,0.00869415895767438,"Canada","VAR2_Canada"
"rw","rw",3,0.936421126031608,"Canada","VAR2_Canada"
"rw","U",3,0.000527724413563157,"Canada","VAR2_Canada"
"rw","e",4,0.0475889409763347,"Canada","VAR2_Canada"
"rw","prod",4,0.0157538613073281,"Canada","VAR2_Canada"
"rw","rw",4,0.934550509941319,"Canada","VAR2_Canada"
"rw","U",4,0.0021066877750178,"Canada","VAR2_Canada"
"rw","e",5,0.0395764949944587,"Canada","VAR2_Canada"
"rw","prod",5,0.0269117909836205,"Canada","VAR2_Canada"
"rw","rw",5,0.928732092226068,"Canada","VAR2_Canada"
"rw","U",5,0.00477962179585226,"Canada","VAR2_Canada"
"rw","e",6,0.0396469482175009,"Canada","VAR2_Canada"
"rw","prod",6,0.0384847950860261,"Canada","VAR2_Canada"
"rw","rw",6,0.914206781033422,"Canada","VAR2_Canada"
"rw","U",6,0.00766147566305094,"Canada","VAR2_Canada"
"rw","e",7,0.0528443329884085,"Canada","VAR2_Canada"
"rw","prod",7,0.0477430391821197,"Canada","VAR2_Canada"
"rw","rw",7,0.889769142189097,"Canada","VAR2_Canada"
"rw","U",7,0.00964348564037432,"Canada","VAR2_Canada"
"rw","e",8,0.0796866483685416,"Canada","VAR2_Canada"
"rw","prod",8,0.0532935940327382,"Canada","VAR2_Canada"
"rw","rw",8,0.856837023554089,"Canada","VAR2_Canada"
"rw","U",8,0.0101827340446304,"Canada","VAR2_Canada"
"rw","e",9,0.117443260264117,"Canada","VAR2_Canada"
"rw","prod",9,0.0549730978799537,"Canada","VAR2_Canada"
"rw","rw",9,0.818009407773454,"Canada","VAR2_Canada"
"rw","U",9,0.00957423408247508,"Canada","VAR2_Canada"
"rw","e",10,0.161774776598185,"Canada","VAR2_Canada"
"rw","prod",10,0.0535198888862958,"Canada","VAR2_Canada"
"rw","rw",10,0.775926463139393,"Canada","VAR2_Canada"
"rw","U",10,0.00877887137612673,"Canada","VAR2_Canada"
"U","e",1,0.463621090112557,"Canada","VAR2_Canada"
"U","prod",1,0.00300824413386768,"Canada","VAR2_Canada"
"U","rw",1,0.00247920321687004,"Canada","VAR2_Canada"
"U","U",1,0.530891462536705,"Canada","VAR2_Canada"
"U","e",2,0.706877687314349,"Canada","VAR2_Canada"
"U","prod",2,0.00884392192887051,"Canada","VAR2_Canada"
"U","rw",2,0.00351366719561878,"Canada","VAR2_Canada"
"U","U",2,0.280764723561161,"Canada","VAR2_Canada"
"U","e",3,0.778787483707875,"Canada","VAR2_Canada"
