"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","n_obs"
"pooled_logit","(Intercept)",-1.80472337915803,0.25207399177482,-7.15949855219576,8.09727002024174e-13,-3244.09831334506,6498.19662669012,6530.7825926472,5000
"pooled_logit","age",0.029625058035417,0.00510056455998856,5.80819195345768,6.31510904822899e-09,-3244.09831334506,6498.19662669012,6530.7825926472,5000
"pooled_logit","educ",0.0936301258596096,0.0128391690334234,7.2925378282557,3.04170123471003e-13,-3244.09831334506,6498.19662669012,6530.7825926472,5000
"pooled_logit","kids",-0.378381294003203,0.0340854193562584,-11.1009722382579,1.2408663792631e-28,-3244.09831334506,6498.19662669012,6530.7825926472,5000
"pooled_logit","married",0.241670367532874,0.059347310330693,4.07213681944889,4.65838009534991e-05,-3244.09831334506,6498.19662669012,6530.7825926472,5000
"pooled_probit","(Intercept)",-1.10672849751386,0.154692544466171,-7.15437515966311,8.40549008617977e-13,-3244.18454232562,6498.36908465124,6530.95505060833,5000
"pooled_probit","age",0.0182128564038287,0.00313301367276625,5.81320680536574,6.12872691074435e-09,-3244.18454232562,6498.36908465124,6530.95505060833,5000
"pooled_probit","educ",0.057585823616023,0.00787864714557901,7.30910047778145,2.68936618450748e-13,-3244.18454232562,6498.36908465124,6530.95505060833,5000
"pooled_probit","kids",-0.233714675372749,0.020903350829066,-11.1807277830198,5.06727125673809e-29,-3244.18454232562,6498.36908465124,6530.95505060833,5000
"pooled_probit","married",0.148246426113797,0.0365177578591896,4.059570871942,4.9162984610432e-05,-3244.18454232562,6498.36908465124,6530.95505060833,5000
"full_logit","(Intercept)",-3.91488101273259,1.19106925288933,-3.28686262636345,0.00101310242346217,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","age",0.139574073572846,0.0683100762682481,2.04324283030735,0.0410284058139752,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","I(age^2)",-0.00167580976026459,0.000883708672363084,-1.89633734812558,0.0579154506630075,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","educ",0.106647644729985,0.0243448159576775,4.38071271170781,1.18291750916794e-05,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","kids",-0.378717088144056,0.0340645534624209,-11.1176296076168,1.02971499574497e-28,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","married",0.241859042842503,0.059380005478693,4.07307208702243,4.63970560297838e-05,-3242.11999719543,6498.23999439085,6543.86034673077,5000
"full_logit","exper",0.0124510955547566,0.0210569199103304,0.59130659221666,0.554315013394046,-3242.11999719543,6498.23999439085,6543.86034673077,5000
