"model_name","category","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","n_obs","base_category"
"multinomial_logit_base","Technical","(Intercept)",-0.922837648610113,0.275218423801577,-3.35310999846234,0.000799089418475028,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Technical","educ",0.0571113690761566,0.0266165093895733,2.14571220591868,0.0318959467585965,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Technical","exper",-0.0296828158484602,0.0230898911780644,-1.28553294684468,0.198606111208397,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Technical","age",0.0362965351080954,0.0233585439066909,1.55388688837315,0.120211399808857,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Technical","female",-0.110261670355918,0.0773217685123939,-1.42601071441149,0.153865249331203,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Managerial","(Intercept)",-3.31359327252025,0.280056493488728,-11.831874459478,2.6710936037542e-32,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Managerial","educ",0.228698687831583,0.0263334450484345,8.68472345380343,3.79664913873845e-18,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Managerial","exper",0.0310311496465836,0.0228351780769212,1.35891866233992,0.17417236441472,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Managerial","age",0.0220909157311113,0.0231066723062138,0.956040551333335,0.339051747500512,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_base","Managerial","female",-0.411821643883164,0.0765328016008432,-5.38098220983755,7.40805162231615e-08,-5104.71915363407,10229.4383072681,10294.6102391823,5000,"Manual"
"multinomial_logit_extended","Technical","(Intercept)",-1.03162150560709,0.27897571048788,-3.69789005574344,0.000217399006182707,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Technical","educ",0.058425493116981,0.0266504757986487,2.19228705552579,0.0283587858394902,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Technical","exper",-0.0286947076666188,0.023096797992804,-1.24236734787042,0.214101057150911,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Technical","age",0.0349671959215659,0.0233665776598133,1.49646201641688,0.134533299001425,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Technical","female",-0.102960612872589,0.0774465614653626,-1.32944072563683,0.18370260923976,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Technical","urban",0.194103135122702,0.0793190810784979,2.44711779919145,0.0144003764778853,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","(Intercept)",-3.46994484814628,0.2840036483348,-12.2179587075435,2.4926519526611e-34,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","educ",0.230115277021838,0.0263937161760992,8.71856299001269,2.81754786678786e-18,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","exper",0.0321238981340548,0.022859930862545,1.4052491377692,0.159947207045145,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","age",0.0203982145694777,0.0231304947598329,0.881875410849409,0.377844185577076,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","female",-0.399592317961298,0.0767063846180647,-5.20937494252847,1.8947786833021e-07,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
"multinomial_logit_extended","Managerial","urban",0.279773790754989,0.0786489287805721,3.55724858676142,0.000374759485680606,-5098.36753242517,10220.7350648503,10298.9413831473,5000,"Manual"
