"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","n_obs","n_switchers","n_dropped","sigma_u","rho"
"fe_logit_job_training","training",0.495717627668416,0.192203309462799,2.5791315927594,0.00990490468652207,-596.116091351123,4800,201,599,NA,NA
"fe_logit_job_training","age",0.130932386745216,0.046624090102687,2.8082561280412,0.00498105931136026,-596.116091351123,4800,201,599,NA,NA
"fe_logit_job_training","prior_wage",0.133383258287058,0.0398787532439483,3.34471986802394,0.000823657161921455,-596.116091351123,4800,201,599,NA,NA
"fe_logit_labor","age",0.068611550144012,0.0299924055437627,2.2876307818624,0.0221590317368939,-2286.73826977427,5000,794,206,NA,NA
"fe_logit_labor","educ",-31863528984912.7,24324423337551.4,-1.30993974832376,0.190216219146638,-2286.73826977427,5000,794,206,NA,NA
"fe_logit_labor","kids",-0.546883350308532,0.0541204147628336,-10.1049364219599,5.25296314552664e-24,-2286.73826977427,5000,794,206,NA,NA
"fe_logit_labor","married",0.371380493476518,0.0806055121649615,4.60738333522994,4.07767851234871e-06,-2286.73826977427,5000,794,206,NA,NA
"re_probit_labor","(Intercept)",-1.28820574814167,0.218193123502555,-5.90397042520261,3.54855803497229e-09,-3164.16592840347,5000,NA,NA,0.548269311036411,0.231123645758579
"re_probit_labor","age",0.0213610844370147,0.00439584766813609,4.8593777695832,1.17755255175905e-06,-3164.16592840347,5000,NA,NA,0.548269311036411,0.231123645758579
"re_probit_labor","educ",0.0657288297662497,0.0112687749330201,5.83282833821175,5.44956260970853e-09,-3164.16592840347,5000,NA,NA,0.548269311036411,0.231123645758579
"re_probit_labor","kids",-0.260816323321995,0.0232118345658802,-11.2363511200178,2.70326290678867e-29,-3164.16592840347,5000,NA,NA,0.548269311036411,0.231123645758579
"re_probit_labor","married",0.169302999058792,0.0403621711095318,4.19459593983064,2.73358433918724e-05,-3164.16592840347,5000,NA,NA,0.548269311036411,0.231123645758579
"re_logit_labor","(Intercept)",-2.1429181520799,0.364336601153411,-5.88169880625742,4.06076802059046e-09,-3164.3188329019,5000,NA,NA,0.910009471015174,0.201097663717399
"re_logit_labor","age",0.0354134186952986,0.00733307735430904,4.82927112101021,1.3703372316833e-06,-3164.3188329019,5000,NA,NA,0.910009471015174,0.201097663717399
"re_logit_labor","educ",0.109467418266245,0.0188048607956,5.82122991795074,5.84161436668755e-09,-3164.3188329019,5000,NA,NA,0.910009471015174,0.201097663717399
"re_logit_labor","kids",-0.431687881223851,0.0387800820817783,-11.1316907559277,8.79512281084329e-29,-3164.3188329019,5000,NA,NA,0.910009471015174,0.201097663717399
"re_logit_labor","married",0.282393946813626,0.0672183411265448,4.20114424249169,2.65569313463032e-05,-3164.3188329019,5000,NA,NA,0.910009471015174,0.201097663717399
"pooled_probit_labor","(Intercept)",-1.10672849751386,0.154692544466171,-7.15437515966311,8.40549008617977e-13,-3244.18454232562,5000,NA,NA,NA,NA
"pooled_probit_labor","age",0.0182128564038287,0.00313301367276625,5.81320680536574,6.12872691074435e-09,-3244.18454232562,5000,NA,NA,NA,NA
"pooled_probit_labor","educ",0.057585823616023,0.00787864714557901,7.30910047778145,2.68936618450748e-13,-3244.18454232562,5000,NA,NA,NA,NA
"pooled_probit_labor","kids",-0.233714675372749,0.020903350829066,-11.1807277830198,5.06727125673809e-29,-3244.18454232562,5000,NA,NA,NA,NA
"pooled_probit_labor","married",0.148246426113797,0.0365177578591896,4.059570871942,4.9162984610432e-05,-3244.18454232562,5000,NA,NA,NA,NA
