"model_name","variable","coefficient","std_error","t_statistic","p_value","is_cutpoint","log_likelihood","aic","bic","n_obs"
"ordered_logit","income",0.269157343086346,0.0363789893961328,7.39870314030654,1.37520895127322e-13,FALSE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","debt_ratio",-1.58429615541262,0.203891704610838,-7.77028255483233,7.83112393408695e-15,FALSE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","age",0.00847644329040995,0.00241636979635467,3.50792469894197,0.000451616861642531,FALSE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","size",0.0761101092152392,0.0216198866104635,3.52037504111625,0.000430936993386657,FALSE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","profitability",0.960924589845444,1.09225333016317,0.879763479138942,0.378987452847213,FALSE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","Poor|Fair",1.64884476069557,0.411532900708359,4.00659280912283,6.16009265343054e-05,TRUE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","Fair|Good",2.72620874015044,0.413082526387532,6.59967092772367,4.12071409532186e-11,TRUE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_logit","Good|Excellent",3.80572817675747,0.415953583322504,9.14940591774335,5.72474961195191e-20,TRUE,-4014.69448576951,8045.38897153903,8093.43991208023,3000
"ordered_probit","income",0.162809881058726,0.0218377439901914,7.45543500884768,8.95717999915813e-14,FALSE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","debt_ratio",-0.960880285085586,0.122500679377651,-7.84387719290389,4.36844334865678e-15,FALSE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","age",0.00516090366109265,0.00145006143140618,3.55909311792945,0.000372137581585009,FALSE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","size",0.0448624914347344,0.0130995118940589,3.42474527276708,0.000615376096829873,FALSE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","profitability",0.57700583458548,0.65363835879824,0.882760056564528,0.377365926020032,FALSE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","Poor|Fair",0.988626645624378,0.246321372488224,4.01356421344089,5.98087222314183e-05,TRUE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","Fair|Good",1.63268290132741,0.246972427436818,6.610790193351,3.82273952939962e-11,TRUE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
"ordered_probit","Good|Excellent",2.29974885147369,0.248016138145162,9.27257745674463,1.81701035728888e-20,TRUE,-4014.54940425545,8045.0988085109,8093.1497490521,3000
