"model_name","variable","coefficient","std_error","statistic","p_value","lambda","rho","log_likelihood","aic"
"sem_ml","lambda",0.520887696186544,0.141286195378256,3.68675577109291,0.000227131147922381,0.520887696186544,NA,-184.155204671898,378.310409343797
"sem_ml","(Intercept)",61.0536179621674,5.31487479829161,11.4873106666205,1.52794787978121e-30,0.520887696186544,NA,-184.155204671898,378.310409343797
"sem_ml","INC",-0.995472722112814,0.337025056565523,-2.95370537804295,0.00313983605916347,0.520887696186544,NA,-184.155204671898,378.310409343797
"sem_ml","HOVAL",-0.307979373537988,0.0925835251346431,-3.32650299381123,0.00087943075132575,0.520887696186544,NA,-184.155204671898,378.310409343797
"sem_ml","lambda",0.520887696186544,0.141286195378256,3.68675577109291,0.000227131147922381,0.520887696186544,NA,-184.155204671898,378.310409343797
"sdm_ml","rho",0.382506231817572,0.162374821963977,2.35569916068904,0.0184878835522924,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","(Intercept)",45.5928934150664,13.1286793712669,3.47277072778927,0.000515115193762516,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","INC",-0.939087969479108,0.338229269257979,-2.77648345318937,0.00549504320169253,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","HOVAL",-0.299605421325664,0.0908434005862734,-3.29804277902533,0.000973612999121954,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","lag.INC",-0.618374916601007,0.577052446299586,-1.07160955744388,0.283895438749175,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","lag.HOVAL",0.266614599927956,0.183971028671916,1.44922057485161,0.147275993445057,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdm_ml","rho",0.382506231817572,0.162374821963977,2.35569916068904,0.0184878835522924,NA,0.382506231817572,-182.016116443503,378.032232887005
"sdem_ml","lambda",0.376129188875345,0.165540312272225,2.27213047814489,0.0230786307541547,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","(Intercept)",73.2586550568391,8.52804365692313,8.59032364326221,8.67246891510268e-18,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","INC",-1.06953005539737,0.324718534202941,-3.29371422552967,0.000988729659859818,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","HOVAL",-0.280344105635402,0.091809291248265,-3.05354830457532,0.00226152309778108,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","lag.INC",-1.1967735501509,0.568967615160315,-2.10341242324256,0.0354297334129593,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","lag.HOVAL",0.146758475053005,0.200872154008057,0.730606368900282,0.465019620732442,0.376129188875345,NA,-182.232889736857,378.465779473713
"sdem_ml","lambda",0.376129188875345,0.165540312272225,2.27213047814489,0.0230786307541547,0.376129188875345,NA,-182.232889736857,378.465779473713
"lr_test_sdm_vs_sar","LR_SDM_vs_SAR",NA,NA,2.3043271856946,0.315952436905009,NA,NA,NA,NA
"lr_test_sdem_vs_sem","LR_SDEM_vs_SEM",NA,NA,3.84462987008374,0.146267969061187,NA,NA,NA,NA
