"model_name","variable","coefficient","std_error","t_statistic","p_value","r_squared","n_obs","n_groups"
"pooled_ols_nonrobust","(Intercept)",-10.2134618820196,8.70061597170424,-1.173878023721,0.241861073221834,0.809046618614294,200,10
"pooled_ols_nonrobust","value",0.0951057823331984,0.00716583223078886,13.272119590599,3.88373308223511e-29,0.809046618614294,200,10
"pooled_ols_nonrobust","capital",0.29403174196698,0.0327439994372581,8.97971374970197,2.18839108299876e-16,0.809046618614294,200,10
"pooled_ols_hc1","(Intercept)",-10.2134618820196,14.798621227813,-0.690163071599137,0.490903912762241,0.809046618614294,200,10
"pooled_ols_hc1","value",0.0951057823331984,0.011633090653578,8.17545269484739,3.54234349246282e-14,0.809046618614294,200,10
"pooled_ols_hc1","capital",0.29403174196698,0.0890557561798222,3.30165903451842,0.00114116166091396,0.809046618614294,200,10
"pooled_ols_clustered","(Intercept)",-10.2134618820196,14.798621227813,-0.690163071599137,0.490903912762241,0.809046618614294,200,10
"pooled_ols_clustered","value",0.0951057823331984,0.011633090653578,8.17545269484739,3.54234349246282e-14,0.809046618614294,200,10
"pooled_ols_clustered","capital",0.29403174196698,0.0890557561798222,3.30165903451842,0.00114116166091396,0.809046618614294,200,10
"pooled_ols_twoway_cluster","(Intercept)",-10.2134618820196,14.3179046854599,-0.713334954128558,0.476482688322086,0.809046618614294,200,10
"pooled_ols_twoway_cluster","value",0.0951057823331984,0.0114605397020425,8.29854307090343,1.6486050372488e-14,0.809046618614294,200,10
"pooled_ols_twoway_cluster","capital",0.29403174196698,0.07590058217639,3.87390628023987,0.000145731715243012,0.809046618614294,200,10
