"model_name","variable","coefficient","std_error","t_statistic","p_value","r_squared","n_obs","n_groups"
"pooled_ols_nonrobust","(Intercept)",-10.2134618820196,8.70061597170424,-1.173878023721,0.241861073221834,0.809046618614294,200,10
"pooled_ols_nonrobust","value",0.0951057823331984,0.00716583223078886,13.272119590599,3.88373308223511e-29,0.809046618614294,200,10
"pooled_ols_nonrobust","capital",0.29403174196698,0.0327439994372581,8.97971374970197,2.18839108299876e-16,0.809046618614294,200,10
"pooled_ols_hc1","(Intercept)",-10.2134618820196,14.798621227813,-0.690163071599137,0.490903912762241,0.809046618614294,200,10
"pooled_ols_hc1","value",0.0951057823331984,0.011633090653578,8.17545269484739,3.54234349246282e-14,0.809046618614294,200,10
"pooled_ols_hc1","capital",0.29403174196698,0.0890557561798222,3.30165903451842,0.00114116166091396,0.809046618614294,200,10
"pooled_ols_clustered","(Intercept)",-10.2134618820196,14.798621227813,-0.690163071599137,0.490903912762241,0.809046618614294,200,10
"pooled_ols_clustered","value",0.0951057823331984,0.011633090653578,8.17545269484739,3.54234349246282e-14,0.809046618614294,200,10
"pooled_ols_clustered","capital",0.29403174196698,0.0890557561798222,3.30165903451842,0.00114116166091396,0.809046618614294,200,10
"pooled_ols_twoway_cluster","(Intercept)",-10.2134618820196,14.3179046854599,-0.713334954128558,0.476482688322086,0.809046618614294,200,10
"pooled_ols_twoway_cluster","value",0.0951057823331984,0.0114605397020425,8.29854307090343,1.6486050372488e-14,0.809046618614294,200,10
"pooled_ols_twoway_cluster","capital",0.29403174196698,0.07590058217639,3.87390628023987,0.000145731715243012,0.809046618614294,200,10
"fe_oneway","value",0.106585108362332,0.0113371775098726,9.40137951174495,1.88562403343436e-17,0.789934712937624,200,10
"fe_oneway","capital",0.34439952991265,0.0177549630775709,19.3973667198281,9.61808081522122e-47,0.789934712937624,200,10
"fe_twoway","value",0.109904634103979,0.0134687276783399,8.15998635719136,7.33510084231769e-14,0.747526272854463,200,10
"fe_twoway","capital",0.359774089264401,0.0210831117308792,17.0645630425352,1.32666954975163e-38,0.747526272854463,200,10
"fe_oneway_clustered","value",0.106585108362332,0.0135291217627337,7.87819861714327,2.59365831237798e-13,0.789934712937624,200,10
"fe_oneway_clustered","capital",0.34439952991265,0.0326778402622116,10.5392378183239,1.0544166280635e-20,0.789934712937624,200,10
"f_test_individual","F_statistic",58.2743728470093,NA,NA,1.06435673707703e-49,NA,200,10
"f_test_time","F_statistic",0.955691148196544,NA,NA,0.515844028650093,NA,200,10
"entity_fixed_effects","1",-77.2240481294589,NA,NA,NA,NA,200,10
"entity_fixed_effects","2",103.681862572348,NA,NA,NA,NA,200,10
"entity_fixed_effects","3",-242.44125138135,NA,NA,NA,NA,200,10
"entity_fixed_effects","4",-26.0036347490853,NA,NA,NA,NA,200,10
"entity_fixed_effects","5",3.10654776974738,NA,NA,NA,NA,200,10
"entity_fixed_effects","6",-21.0503675620427,NA,NA,NA,NA,200,10
"entity_fixed_effects","7",19.4017202537105,NA,NA,NA,NA,200,10
"entity_fixed_effects","8",-58.1118907930914,NA,NA,NA,NA,200,10
"entity_fixed_effects","9",-43.8365238557528,NA,NA,NA,NA,200,10
"entity_fixed_effects","10",24.0300263999924,NA,NA,NA,NA,200,10
"re_swamy_arora","(Intercept)",-25.3881138128446,23.2714368932704,-1.09095600453388,0.276624770903485,0.790749430420342,200,10
"re_swamy_arora","value",0.100602989120786,0.00978856259255394,10.2776059477122,4.11100588386107e-20,0.790749430420342,200,10
"re_swamy_arora","capital",0.344359909348543,0.0180063463649739,19.1243632866241,8.83212436071655e-47,0.790749430420342,200,10
"re_wallace_hussain","(Intercept)",-26.7962352709038,26.6603897056346,-1.00509540808552,0.316083858078578,0.790456812030965,200,10
"re_wallace_hussain","value",0.101889039162419,0.0100826483851396,10.1053845448572,1.31138265136445e-19,0.790456812030965,200,10
"re_wallace_hussain","capital",0.344477579561674,0.0178211979119472,19.3296534421369,2.23126207293978e-47,0.790456812030965,200,10
"re_amemiya","(Intercept)",-27.5347069254648,29.017672649447,-0.94889439474015,0.343836912581534,0.790333693783682,200,10
"re_amemiya","value",0.10256864175697,0.010233731592212,10.0226042507335,2.28547935789182e-19,0.790333693783682,200,10
"re_amemiya","capital",0.344509076196925,0.0177352980668969,19.4250513804419,1.17913455491112e-47,0.790333693783682,200,10
"re_nerlove","(Intercept)",-28.0960412017882,31.2327874938541,-0.899568801129802,0.369448036446083,0.790252499825385,200,10
"re_nerlove","value",0.10308724818347,0.0103471636844455,9.9628508185714,3.40989104269533e-19,0.790252499825385,200,10
"re_nerlove","capital",0.344521164634941,0.0176744360369295,19.4926256156116,7.50973069565713e-48,0.790252499825385,200,10
"re_clustered","(Intercept)",-25.3881138128446,20.010978591313,-1.26870925861996,0.20604184470855,0.790749430420342,200,10
"re_clustered","value",0.100602989120786,0.0114315431645056,8.80047318835774,6.91909675362958e-16,0.790749430420342,200,10
"re_clustered","capital",0.344359909348543,0.0356018432688485,9.67253034479416,2.35647549806554e-18,0.790749430420342,200,10
"variance_components_swar","sigma2_u",4182.62445215829,NA,NA,NA,NA,200,10
"variance_components_swar","sigma2_e",2489.96390480808,NA,NA,NA,NA,200,10
"variance_components_swar","theta",0.829984738188903,NA,NA,NA,NA,200,10
"hausman_test","chi2_statistic",0.930267278310576,NA,NA,0.628051167353592,NA,200,10
"hausman_test","df",2,NA,NA,NA,NA,200,10
"first_difference","(Intercept)",-1.57625382564492,3.30339254469871,-0.477162130844697,0.63380385588995,0.445989870242391,200,10
"first_difference","value",0.0897805494828678,0.00812954088755685,11.0437416730737,3.75486712903945e-22,0.445989870242391,200,10
"first_difference","capital",0.357726754139538,0.0536927079229076,6.66248300706243,2.92401202535399e-10,0.445989870242391,200,10
"first_difference_robust","(Intercept)",-1.57625382564492,1.35385500089709,-1.16427078571964,0.245797519302603,0.445989870242391,200,10
"first_difference_robust","value",0.0897805494828678,0.0134162582451236,6.69192168505704,2.48643344287737e-10,0.445989870242391,200,10
"first_difference_robust","capital",0.357726754139538,0.0833146674121237,4.29368279621174,2.81917948995832e-05,0.445989870242391,200,10
"between","(Intercept)",28.9213813353224,30.3404138074987,0.953229626953025,0.37222187163465,0.914612956822883,200,10
"between","value",0.312314323205298,0.0802137283316163,3.89352707698788,0.00594828255895046,0.914612956822883,200,10
"between","capital",-1.19331847605135,0.533645428902147,-2.2361635861968,0.0604188967483599,0.914612956822883,200,10
"iv_pooled","(Intercept)",-12.509464360545,9.28209340704966,-1.34769860762704,0.179385814752794,NA,200,10
"iv_pooled","capital",0.285384193970819,0.0356265944452024,8.01042587468672,1.19126139594867e-13,NA,200,10
"iv_pooled","value",0.0982460056716613,0.00816833565966326,12.0276650917785,4.72598260635344e-25,NA,200,10
"iv_fe","capital",0.281441422730295,0.0387987497314002,7.25387866048997,1.19933873952752e-11,NA,200,10
"iv_fe","value",0.254408050530526,0.0648509186012494,3.92296756958543,0.00012476318874413,NA,200,10
"iv_re","(Intercept)",-53.8337730652507,24.4236544866604,-2.20416535513362,0.0287332226779791,NA,200,10
"iv_re","capital",0.329183070545101,0.0218782820917111,15.0461114435405,4.81163081109949e-34,NA,200,10
"iv_re","value",0.128224770550189,0.0174466900942412,7.3495184391745,6.00588420482763e-12,NA,200,10
