"model_name","variable","coefficient","std_error","t_statistic","p_value","r_squared","n_obs","n_groups"
"re_swamy_arora","(Intercept)",-25.3881138128446,23.2714368932704,-1.09095600453388,0.276624770903485,0.790749430420342,200,10
"re_swamy_arora","value",0.100602989120786,0.00978856259255394,10.2776059477122,4.11100588386107e-20,0.790749430420342,200,10
"re_swamy_arora","capital",0.344359909348543,0.0180063463649739,19.1243632866241,8.83212436071655e-47,0.790749430420342,200,10
"re_wallace_hussain","(Intercept)",-26.7962352709038,26.6603897056346,-1.00509540808552,0.316083858078578,0.790456812030965,200,10
"re_wallace_hussain","value",0.101889039162419,0.0100826483851396,10.1053845448572,1.31138265136445e-19,0.790456812030965,200,10
"re_wallace_hussain","capital",0.344477579561674,0.0178211979119472,19.3296534421369,2.23126207293978e-47,0.790456812030965,200,10
"re_amemiya","(Intercept)",-27.5347069254648,29.017672649447,-0.94889439474015,0.343836912581534,0.790333693783682,200,10
"re_amemiya","value",0.10256864175697,0.010233731592212,10.0226042507335,2.28547935789182e-19,0.790333693783682,200,10
"re_amemiya","capital",0.344509076196925,0.0177352980668969,19.4250513804419,1.17913455491112e-47,0.790333693783682,200,10
"re_nerlove","(Intercept)",-28.0960412017882,31.2327874938541,-0.899568801129802,0.369448036446083,0.790252499825385,200,10
"re_nerlove","value",0.10308724818347,0.0103471636844455,9.9628508185714,3.40989104269533e-19,0.790252499825385,200,10
"re_nerlove","capital",0.344521164634941,0.0176744360369295,19.4926256156116,7.50973069565713e-48,0.790252499825385,200,10
"re_clustered","(Intercept)",-25.3881138128446,20.010978591313,-1.26870925861996,0.20604184470855,0.790749430420342,200,10
"re_clustered","value",0.100602989120786,0.0114315431645056,8.80047318835774,6.91909675362958e-16,0.790749430420342,200,10
"re_clustered","capital",0.344359909348543,0.0356018432688485,9.67253034479416,2.35647549806554e-18,0.790749430420342,200,10
"variance_components_swar","sigma2_u",4182.62445215829,NA,NA,NA,NA,200,10
"variance_components_swar","sigma2_e",2489.96390480808,NA,NA,NA,NA,200,10
"variance_components_swar","theta",0.829984738188903,NA,NA,NA,NA,200,10
"hausman_test","chi2_statistic",0.930267278310576,NA,NA,0.628051167353592,NA,200,10
"hausman_test","df",2,NA,NA,NA,NA,200,10
