"model_name","variable","coefficient","std_error","z_statistic","p_value","n_obs","n_groups","n_instruments","ar1_statistic","ar1_pvalue","ar2_statistic","ar2_pvalue","sargan_statistic","sargan_pvalue","sargan_df","hansen_statistic","hansen_pvalue","hansen_df"
"sys_gmm_onestep_twoways","lag(n, 1)",0.775468889816283,0.0796837577696982,9.7318313232358,2.20585378383532e-22,2100,140,47,-5.65355664279961,1.57161286376239e-08,-1.49333644752508,0.13534913951275,37.9311979309191,0.381336224465637,36,NA,NA,NA
"sys_gmm_onestep_twoways","w",0.229875004506845,0.196229937009248,1.17145736277748,0.241414986519976,2100,140,47,-5.65355664279961,1.57161286376239e-08,-1.49333644752508,0.13534913951275,37.9311979309191,0.381336224465637,36,NA,NA,NA
"sys_gmm_onestep_twoways","k",0.0576651920894646,0.234081041576855,0.246347127050575,0.80541353162346,2100,140,47,-5.65355664279961,1.57161286376239e-08,-1.49333644752508,0.13534913951275,37.9311979309191,0.381336224465637,36,NA,NA,NA
"sys_gmm_twostep_twoways","lag(n, 1)",0.677199769955366,0.10219748506041,6.62638390323466,3.44009796432261e-11,2100,140,47,-5.09392635063635,3.50723057285445e-07,-1.56083708065629,0.118562195941812,NA,NA,NA,27.4794787923407,0.845227336092005,36
"sys_gmm_twostep_twoways","w",0.18661330981563,0.152852916778657,1.22086849075874,0.222135816333896,2100,140,47,-5.09392635063635,3.50723057285445e-07,-1.56083708065629,0.118562195941812,NA,NA,NA,27.4794787923407,0.845227336092005,36
"sys_gmm_twostep_twoways","k",-0.054546268615338,0.173716718363141,-0.313995504458663,0.753524453150524,2100,140,47,-5.09392635063635,3.50723057285445e-07,-1.56083708065629,0.118562195941812,NA,NA,NA,27.4794787923407,0.845227336092005,36
"sys_gmm_onestep_individual","lag(n, 1)",0.72793219300172,0.0870101076987789,8.36606472804005,5.95744786782669e-17,2100,140,39,-5.35567753128699,8.52364082454454e-08,-1.45782192149494,0.144889634273091,37.4781804220628,0.401184513877972,36,NA,NA,NA
"sys_gmm_onestep_individual","w",0.337340568280098,0.216336052738284,1.55933587587548,0.118916904725106,2100,140,39,-5.35567753128699,8.52364082454454e-08,-1.45782192149494,0.144889634273091,37.4781804220628,0.401184513877972,36,NA,NA,NA
"sys_gmm_onestep_individual","k",0.150525753615511,0.183721163874377,0.819316351155039,0.412605945955822,2100,140,39,-5.35567753128699,8.52364082454454e-08,-1.45782192149494,0.144889634273091,37.4781804220628,0.401184513877972,36,NA,NA,NA
"sys_gmm_twostep_individual","lag(n, 1)",0.692349268226486,0.083887829973053,8.25327426456123,1.54112824216302e-16,2100,140,39,-5.49389509347692,3.93164096192199e-08,-1.4996607831937,0.133702293985149,NA,NA,NA,35.9241215152523,0.472202380943555,36
"sys_gmm_twostep_individual","w",0.358479005262495,0.152158503589859,2.35595774672423,0.0184750190305279,2100,140,39,-5.49389509347692,3.93164096192199e-08,-1.4996607831937,0.133702293985149,NA,NA,NA,35.9241215152523,0.472202380943555,36
"sys_gmm_twostep_individual","k",0.183246886959125,0.14883011699389,1.23124869253881,0.21822986494034,2100,140,39,-5.49389509347692,3.93164096192199e-08,-1.4996607831937,0.133702293985149,NA,NA,NA,35.9241215152523,0.472202380943555,36
