"model_name","se_type","variable","coefficient","std_error","t_statistic","p_value"
"pooled_ols","classical","(Intercept)",-10.2134618820196,8.70061597170424,-1.173878023721,0.241861073221834
"pooled_ols","classical","value",0.0951057823331984,0.00716583223078886,13.272119590599,3.88373308223511e-29
"pooled_ols","classical","capital",0.29403174196698,0.0327439994372581,8.97971374970197,2.18839108299876e-16
"pooled_ols","HAC_lag1","(Intercept)",-10.2134618820196,7.60774070753332,-1.34250919880932,0.180975901721989
"pooled_ols","HAC_lag1","value",0.0951057823331984,0.0103077176613314,9.22665768097049,4.41479784943822e-17
"pooled_ols","HAC_lag1","capital",0.29403174196698,0.080370337844875,3.65846094282319,0.000325677527192696
"pooled_ols","HAC_lag2","(Intercept)",-10.2134618820196,8.31968815048929,-1.22762556688124,0.221052423872412
"pooled_ols","HAC_lag2","value",0.0951057823331984,0.0115122794497564,8.26124684935532,2.07972417578238e-14
"pooled_ols","HAC_lag2","capital",0.29403174196698,0.0867612512068377,3.38897535336382,0.00084729156925
"pooled_ols","HAC_lag3","(Intercept)",-10.2134618820196,8.77205581416876,-1.1643179316669,0.245703277120112
"pooled_ols","HAC_lag3","value",0.0951057823331984,0.0122635433254786,7.75516339846152,4.62978911831603e-13
"pooled_ols","HAC_lag3","capital",0.29403174196698,0.0900034335910714,3.26689471984932,0.00128266421790284
"pooled_ols","HAC_lag4","(Intercept)",-10.2134618820196,9.13818477490493,-1.11766856696393,0.265069733224998
"pooled_ols","HAC_lag4","value",0.0951057823331984,0.0127752580068131,7.44452928328162,2.9614213622317e-12
"pooled_ols","HAC_lag4","capital",0.29403174196698,0.0923299848726383,3.1845747876226,0.00168531491412568
"pooled_ols","HAC_auto","(Intercept)",-10.2134618820196,10.1858300471323,-1.00271277203325,0.317229503945434
"pooled_ols","HAC_auto","value",0.0951057823331984,0.0129151609752555,7.3638867154203,4.76325370231051e-12
"pooled_ols","HAC_auto","capital",0.29403174196698,0.0952464007279857,3.08706407506889,0.00231273541844606
"pooled_ols_plm","panel_NW_lag2","(Intercept)",-10.2134618820196,8.50660184479121,-1.20065121988442,0.231328218329682
"pooled_ols_plm","panel_NW_lag2","value",0.0951057823331984,0.0116216639495446,8.18349099974838,3.37029881985137e-14
"pooled_ols_plm","panel_NW_lag2","capital",0.29403174196698,0.087737123855979,3.35128083808212,0.000964216301900632
"pooled_ols_plm","driscoll_kraay_lag2","(Intercept)",-10.2134618820196,5.9731286659824,-1.70990153622277,0.088858559468755
"pooled_ols_plm","driscoll_kraay_lag2","value",0.0951057823331984,0.0116379175619976,8.17206186816072,3.61750133649429e-14
"pooled_ols_plm","driscoll_kraay_lag2","capital",0.29403174196698,0.0611658461867476,4.8071229337572,3.03280983598182e-06
