"model_name","se_type","variable","coefficient","std_error","t_statistic","p_value"
"fe_within","nonrobust","value",0.106585108362332,0.0113371775098726,9.40137951174495,1.88562403343436e-17
"fe_within","nonrobust","capital",0.34439952991265,0.0177549630775709,19.3973667198281,9.61808081522122e-47
"fe_within","HC1","value",0.106585108362332,0.0135291217627337,7.87819861714327,2.59365831237798e-13
"fe_within","HC1","capital",0.34439952991265,0.0326778402622116,10.5392378183239,1.0544166280635e-20
"fe_within","cluster_entity","value",0.106585108362332,0.0135291217627337,7.87819861714327,2.59365831237798e-13
"fe_within","cluster_entity","capital",0.34439952991265,0.0326778402622116,10.5392378183239,1.0544166280635e-20
"fe_within","cluster_time","value",0.106585108362332,0.0167237868900228,6.37326396606497,1.39264351240161e-09
"fe_within","cluster_time","capital",0.34439952991265,0.0347923612977491,9.8987110120327,7.36615892202718e-19
"fe_within","cluster_twoway","value",0.106585108362332,0.0122034644517604,8.73400408413994,1.33351683424838e-15
"fe_within","cluster_twoway","capital",0.34439952991265,0.024026777609652,14.3339874996096,5.66437899579266e-32
