"model_name","se_type","variable","coefficient","std_error","t_statistic","p_value"
"pooled_ols","classical","(Intercept)",-10.2134618820196,8.70061597170424,-1.173878023721,0.241861073221834
"pooled_ols","classical","value",0.0951057823331984,0.00716583223078886,13.272119590599,3.88373308223511e-29
"pooled_ols","classical","capital",0.29403174196698,0.0327439994372581,8.97971374970197,2.18839108299876e-16
"pooled_ols","HC0","(Intercept)",-10.2134618820196,6.03024503031222,-1.6937059490418,0.0919016538014789
"pooled_ols","HC0","value",0.0951057823331984,0.00841743905478844,11.2986600454322,3.82615523823243e-23
"pooled_ols","HC0","capital",0.29403174196698,0.0661276346470662,4.44642763250605,1.45700269690173e-05
"pooled_ols","HC1","(Intercept)",-10.2134618820196,6.07598711460599,-1.68095515829314,0.0943563852103401
"pooled_ols","HC1","value",0.0951057823331984,0.00848128906500305,11.2135999143857,6.88286353951411e-23
"pooled_ols","HC1","capital",0.29403174196698,0.0666292420980021,4.4129534226804,1.67779700109711e-05
"pooled_ols","HC2","(Intercept)",-10.2134618820196,6.58628451486295,-1.55071677498464,0.122574570282943
"pooled_ols","HC2","value",0.0951057823331984,0.00889737464998669,10.6891960914943,2.51485278951598e-21
"pooled_ols","HC2","capital",0.29403174196698,0.0739804752350697,3.97445057000116,9.89504993118479e-05
"pooled_ols","HC3","(Intercept)",-10.2134618820196,7.26475968934915,-1.40589122266405,0.161331679222747
"pooled_ols","HC3","value",0.0951057823331984,0.00947321477854481,10.0394411566173,2.04154039616632e-19
"pooled_ols","HC3","capital",0.29403174196698,0.0834818571723644,3.52210350759081,0.000532019472295787
