"model_name","variable","coefficient","std_error","statistic","p_value","sigma_v","sigma_u","sigma_v_sq","sigma_u_sq","gamma","lambda_param","log_likelihood","aic","bic","mean_te"
"sfa_half_normal","(Intercept)",2.20219048294049,0.230454040074017,9.55587709476994,1.22541474396772e-21,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","log_doctors",0.298716843427808,0.0266446227598076,11.2111492859419,3.59494865726504e-29,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","log_nurses",0.306769955111837,0.0245840793286507,12.4783991708944,9.79358703249127e-36,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","log_beds",0.300229370860323,0.0248055101555895,12.1033338551464,1.01407508916797e-33,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","teaching",-0.0394009255017688,0.0227684922200485,-1.73050218349878,0.0835405914553849,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","urban",0.0382712931299784,0.0198188256353879,1.93105756284784,0.0534759342520557,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","sigmaSq",0.030370569353044,0.00835192576320884,3.63635528069822,0.000276522880822487,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_half_normal","gamma",0.585892923930928,0.23955672044342,2.44573778955747,0.0144556089103637,0.112145743001427,0.133393784261869,0.012576667673342,0.0177939016797019,0.585892923930928,1.18946810366375,112.987775717366,-209.975551434732,-183.589012502348,0.901800290170393
"sfa_truncated_normal","(Intercept)",2.26354951618935,0.23123326397702,9.78903068381326,1.25493139930067e-22,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","log_doctors",0.318704155176639,0.0283803399320011,11.2297511566193,2.91297774621623e-29,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","log_nurses",0.307795465483477,0.0241845342855872,12.7269544184238,4.18861149705952e-37,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","log_beds",0.301184406401992,0.0245099941978318,12.2882283843476,1.04777132765375e-34,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
"sfa_truncated_normal","teaching",-0.0451813897025408,0.0228023521688665,-1.98143548384583,0.0475424577641407,0.040281123087053,0.144780761343879,0.00162256887715432,0.0209614688553133,0.928154172589711,3.59425830881101,114.390821775519,-210.781643551038,-181.096787252105,0.77312167019166
